Type,Serial Number,Asset No.,Temp_Slope,Temp_Intercept,Humid_Slope,Humid_Intercept,Lux_Slope,Lux_Intercept,CO2_A,CO2_B,VOC_Slope,VOC_Intercept,PM10_Slope,PM10_Intercept,PM25_Slope,PM25_Intercept
THL,0013a20040d7b7fc,A1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7b8,A2,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b845,A3,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040e7cc29,A4,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8f7,A5,1,0,1,0,1,0,1,0,1,0,1,0,1,0
CO2,0013a20040d7b7bd,A6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040f81fad,A7,1,0,1,0,1,0,1,0,1,0,1,0,1,0
CO2,0013a20040d7b8ed,A8,1,0,1,0,1,0,3.32838402,0.81538492,1,0,1,0,1,0
CO2,0013a20040d7b94f,A9,1,0,1,0,1,0,2.821284404,0.839238222,1,0,1,0,1,0
CO2,0013a20040d7b925,A10,1,0,1,0,1,0,7.010223239,0.687364433,1,0,1,0,1,0
CO2,0013a20040d7b92f,A11,1,0,1,0,1,0,3.865013722,0.790436362,1,0,1,0,1,0
THL,0013a20040d7b879,B1,1.31,-8.22,1.28,-1.9,0.96,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7bc,B2,1.45,-11.32,1.24,-2.37,0.97,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8f1,B3,1,-4.324393983,1,8.36,1.04,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8de,B4,1,-4.399490684,1,8.63,1.05,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8f3,B5,1,-4.514804979,1,9.16,1.01,0,1,0,1,0,1,0,1,0
CO2,,B6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040d7b8f4,B7,1,0,1,0,1,0,3.622627022,0.818277155,1,0,1,0,1,0
IAQ,,B8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20041538f6b,C1,1.192261799,-5.176615648,1.2095373,-2.716779892,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b875,C2,1.194247246,-5.59369672,1.12353292,0.660403929,0.9,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8e5,C3,1.13634202,-3.484516593,1.149067363,-0.358815322,0.93,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b87a,C4,1.146374895,-4.231212418,1.177780377,-0.027941689,0.95,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8f0,C5,1.040793717,-1.693607666,1.204022507,-1.966194064,0.85,0,1,0,1,0,1,0,1,0
CO2,,C6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040d7b7c0,C7,1,0,1,0,1,0,4.40311031,0.77544072,1,0,1,0,1,0
IAQ,,C8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b877,D1,1.08,-2.88,1.15,0.04,1.07,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8ea,D2,1.12,-3.66,1.16,0.15,0.92,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b932,D3,1.18,-5.27,1.18,-0.42,1.1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b871,D4,1.12,-3.36,1.14,0.53,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7c1,D5,1,0,1,0,1,0,1,0,1,0,1,0,1,0
CO2,,D6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040d7b7c3,D7,1,0,1,0,1,0,5.12315077,0.74835602,1,0,1,0,1,0
IAQ,,D8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b930,E1,1.1,-2.55,1.24,-2.19,0.86,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b931,E2,1.14,-4.04,1.27,-2.24,0.82,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b939,E3,1.2,-9.95,1.14,3.48,1.01,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8ef,E4,1.07,-6.82,1.35,-2.74,0.87,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8ee,E5,1.12,-7.57,1.13,3.81,0.83,0,1,0,1,0,1,0,1,0
CO2,,E6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040d7b923,E7,1,0,1,0,1,0,3.324522318,0.82108744,1,0,1,0,1,0
IAQ,,E8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7ba,F1,1.23,-5.88,1.16,-0.01,1.02,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8f9,F2,1.12,-3.68,1.18,-1.17,0.95,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8ec,F3,1.16,-4.73,1.19,0.5,0.87,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8e9,F4,1.02,-1.26,1.16,0.43,0.93,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b87b,F5,1.09,-2.7,1.17,-0.28,1.07,0,1,0,1,0,1,0,1,0
CO2,,F6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040d7b7c2,F7,1,0,1,0,1,0,3.245244766,0.831586251,1,0,1,0,1,0
IAQ,,F8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7b1,G1,1.22,-5.92,1.17,-0.55,0.88,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7bf,G2,1.3,-7.86,1.19,-0.46,1.14,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7df,G3,1.26,-7.93,1.25,-1.44,0.85,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7b4,G4,1.16,-4.36,1.16,-2.18,1.07,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8f8,G5,1.43,-11.68,1.23,-0.25,0.86,0,1,0,1,0,1,0,1,0
CO2,,G6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040d7b7b3,G7,1,0,1,0,1,0,2.257604818,0.904068199,1,0,1,0,1,0
IAQ,,G8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7b5,H1,1,-4.405112649,1,9.069566402,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b8eb,H2,1,-4.59671739,1,8.525438958,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7be,H3,1,-4.560773572,1,9.181169966,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b952,H4,1,-4.579124057,1,8.983118617,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b953,H5,1,-4.354623656,1,8.499228012,1,0,1,0,1,0,1,0,1,0
CO2,,H6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,,H7,1,0,1,0,1,0,1,0,1,0,1,0,1,0
IAQ,,H8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b934,I1,1,-4.534173008,1,9.405844303,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b926,I2,1,-4.414026145,1,9.281913629,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b92d,I3,1,-4.485691405,1,9.566840468,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b935,I4,1,-4.581999996,1,9.86014314,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b937,I5,1,-4.801,1,9.82,1,0,1,0,1,0,1,0,1,0
CO2,,I6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,0013a20040d7b92b,I7,1,0,1,0,1,0,1,0,1,0,1,0,1,0
IAQ,,I8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b7b6,J1,1,-4.255086705,1,8.324084778,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b929,J2,1,-4.64125,1,9.0875,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b95c,J3,1,-4.534633192,1,9.438610039,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b933,J4,1,-4.447005754,1,9.283109405,1,0,1,0,1,0,1,0,1,0
THL,0013a20040d7b94e,J5,1,-4.237326923,1,8.954038495,1,0,1,0,1,0,1,0,1,0
CO2,,J6,1,0,1,0,1,0,1,1,1,0,1,0,1,0
IAQ,,J7,1,0,1,0,1,0,1,0,1,0,1,0,1,0
IAQ,,J8,1,0,1,0,1,0,1,0,1,0,1,0,1,0
